"","School.Name","Education.Sector","School.Type","School.No","School_No"
"1","Abbotsford Primary School","Government","Primary",0,1886
"2","Albert Park College","Government","Secondary",0,8889
"3","Alia College","Independent","Secondary",0,1981
"4","Alkira Secondary College","Government","Secondary",0,8874
"5","Alphington Primary School","Government","Primary",0,3599
"6","Altona Green Primary School","Government","Primary",0,5287
"7","Altona Primary School","Government","Primary",0,3923
"8","AMEP/Language & Literacy Programs, Victoria University Sunshine","RTO/VET","Secondary",0,0
"9","Apollo Bay P-12 College","Government","Pri/Sec",0,6203
"10","Ashwood High School","Government","Secondary",0,8743
"11","Auburn High School","Government","Secondary",0,7526
"12","Bairnsdale Secondary College","Government","Secondary",0,8466
"13","Ballarat High School","Government","Secondary",0,7540
"14","Ballarat Specialist School","Government","Special",0,4762
"15","Balwyn High School","Government","Secondary",0,7550
"16","Beaconhills College","Independent","Pri/Sec",0,1855
"17","Bellarine Secondary College","Government","Secondary",0,8250
"18","Belmont High School","Government","Secondary",0,7585
"19","Benalla P-12 College","Government","Pri/Sec",0,8915
"20","Bentleigh Secondary College","Government","Secondary",0,7255
"21","Berendale School","Government","Special",0,4928
"22","Berwick Secondary College","Government","Secondary",0,7603
"23","Bialik College","Independent","Pri/Sec",0,1626
"24","Billanook College","Independent","Pri/Sec",0,1816
"25","Blackburn High School","Government","Secondary",0,7610
"26","Box Hill High School","Government","Secondary",0,7635
"27","Box Hill Senior Secondary College","Government","Secondary",0,7050
"28","Braybrook College","Government","Secondary",0,7645
"29","Brentwood Secondary College","Government","Secondary",0,7647
"30","Briar Hill Primary School","Government","Primary",0,4341
"31","Brighton Secondary College","Government","Secondary",0,7650
"32","Brunswick East Primary School","Government","Primary",0,3179
"33","Brunswick Secondary College","Government","Secondary",0,8807
"34","Brunswick South Primary School","Government","Primary",0,2743
"35","Buckley Park College","Government","Secondary",0,7670
"36","Bundoora Secondary College","Government","Secondary",0,7874
"37","Buninyong Primary School","Government","Primary",0,1270
"38","Camberwell Grammar School","Independent","Pri/Sec",0,1258
"39","Camberwell High School","Government","Secondary",0,7680
"40","Cambridge Primary School","Government","Primary",0,5312
"41","Camperdown College","Government","Pri/Sec",0,6259
"42","Canterbury Girls' Secondary College","Government","Secondary",0,0
"43","Carey Baptist Grammar School","Independent","Pri/Sec",0,1189
"44","Carranballac P-9 College","Government","Pri/Sec",0,5486
"45","Carrum Downs Secondary College","Government","Secondary",0,8423
"46","Carwatha College P-12","Government","Pri/Sec",0,5435
"47","Castlemaine Secondary College","Government","Secondary",0,8824
"48","Caulfield Grammar School","Independent","Pri/Sec",0,96
"49","Chaffey Secondary College","Government","Secondary",0,7250
"50","Charles La Trobe P-12 College","Government","Pri/Sec",0,8890
"51","Cheltenham Secondary College","Government","Secondary",0,7720
