"","Year","LGA","Numerator","Denominator","Indicator","labeledNames"
"1",2015,"Alpine (S)",36,175,0.206,"Alpine (S),Victoria, Australia"
"2",2015,"Ararat (RC)",37,199,0.186,"Ararat (RC),Victoria, Australia"
"3",2015,"Ballarat (C)",246,1253,0.196,"Ballarat (C),Victoria, Australia"
"4",2015,"Banyule (C)",209,1764,0.118,"Banyule (C),Victoria, Australia"
"5",2015,"Bass Coast (S)",41,446,0.092,"Bass Coast (S),Victoria, Australia"
"6",2015,"Baw Baw (S)",110,681,0.162,"Baw Baw (S),Victoria, Australia"
"7",2015,"Bayside (C)",159,1405,0.113,"Bayside (C),Victoria, Australia"
"8",2015,"Benalla (RC)",46,149,0.309,"Benalla (RC),Victoria, Australia"
"9",2015,"Boroondara (C)",287,2376,0.121,"Boroondara (C),Victoria, Australia"
"10",2015,"Brimbank (C)",359,2737,0.131,"Brimbank (C),Victoria, Australia"
"11",2015,"Buloke (S)",8,94,0.085,"Buloke (S),Victoria, Australia"
"12",2015,"Campaspe (S)",114,663,0.172,"Campaspe (S),Victoria, Australia"
"13",2015,"Cardinia (S)",193,1187,0.163,"Cardinia (S),Victoria, Australia"
"14",2015,"Casey (C)",781,4937,0.158,"Casey (C),Victoria, Australia"
"15",2015,"Central Goldfields (S)",35,211,0.166,"Central Goldfields (S),Victoria, Australia"
"16",2015,"Colac-Otway (S)",45,271,0.166,"Colac-Otway (S),Victoria, Australia"
"17",2015,"Corangamite (S)",45,279,0.161,"Corangamite (S),Victoria, Australia"
"18",2015,"Darebin (C)",189,1543,0.122,"Darebin (C),Victoria, Australia"
"19",2015,"East Gippsland (S)",122,682,0.179,"East Gippsland (S),Victoria, Australia"
"20",2015,"Frankston (C)",249,1511,0.165,"Frankston (C),Victoria, Australia"
"21",2015,"Gannawarra (S)",6,126,0.048,"Gannawarra (S),Victoria, Australia"
"22",2015,"Glen Eira (C)",232,1691,0.137,"Glen Eira (C),Victoria, Australia"
"23",2015,"Glenelg (S)",61,318,0.192,"Glenelg (S),Victoria, Australia"
