"","Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status","Address_Line_1","Address_Line_2","Address_Town","Address_State","Address_Postcode","Postal_Address_Line_1","Postal_Address_Line_2","Postal_Town","Postal_State","Postal_Postcode","Full_Phone_No","LGA_ID","LGA_Name","X","Y","Prep.Males.Total..","Prep.Females.Total..","Prep.Total..","Year.1.Males.Total..","Year.1.Females.Total..","Year.1.Total..","Year.2.Males.total..","Year.2.Females.Total..","Year.2.Total..","Year.3.Males.Total..","Year.3.Females.Total..","Year.3.Total..","Year.4.Males.Total..","Year.4.Females.Total..","Year.4.Total..","Year.5.Males.Total..","Year.5.Females.Total..","Year.5.Total..","Year.6.Males.Total..","Year.6.Females.Total..","Year.6.Total..","Primary.Ungraded.Males.Total..","Primary.Ungraded.Females.Total..","Primary.Ungraded.Total..","Primary.Total..","Year.7.Males.Total..","Year.7.Females.Total..","Year.7.Total..","Year.8.Males.Total..","Year.8.Females.Total..","Year.8.Total..","Year.9.Males.Total..","Year.9.Females.Total..","Year.9.Total..","Year.10.Males.Total..","Year.10.Females.Total..","Year.10.Total..","Year.11.Males.Total..","Year.11.Females.Total..","Year.11.Total..","Year.12.Males..","Year.12.Females..","Year.12.Total..","Secondary.Ungraded.Males.Total..","Secondary.Ungraded.Females.Total..","Secondary.Ungraded.Total..","Secondary.Total..","Grand.Total","totalScaled"
"1","Government",1,1,"Alberton Primary School","Primary","O","21 Thomson Street","","Alberton","VIC",3971,"21 Thomson Street","","ALBERTON","VIC",3971,"03 5183 2412",681,"Wellington (S)",146.666601,-38.617713,3,1,4,1,1,2,3,6,9,5,2,7,10,3,13,1,1,2,5,8,13,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3.55113636363636
"2","Government",1,3,"Allansford and District Primary School","Primary","O","Frank Street","","Allansford","VIC",3277,"Frank Street","","ALLANSFORD","VIC",3277,"03 5565 1382",673,"Warrnambool (C)",142.590393,-38.386281,3,11,14,12,7,19,12,20,32,15,13,28,8,12,20,9,14,23,16,10,26,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,11.5056818181818
"3","Government",1,4,"Avoca Primary School","Primary","O","118 Barnett Street","","Avoca","VIC",3467,"P O Box 12","","AVOCA","VIC",3467,"03 5465 3176",599,"Pyrenees (S)",143.475649,-37.084502,7,6,13,9,7,16,7,5,12,9.4,4,13.4,10,6,16,6,5,11,7,10,17,0,0,0,98.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.4,6.98863636363636
"4","Government",1,8,"Avenel Primary School","Primary","O","40 Anderson Street","","Avenel","VIC",3664,"40 Anderson Street","","AVENEL","VIC",3664,"03 5796 2264",643,"Strathbogie (S)",145.234722,-36.901368,9,7,16,11,15,26,8,5,13,10,7,17,11,4,15,4,8,12,2,6,8,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,7.59943181818182
"5","Government",1,12,"Warrandyte Primary School","Primary","O","5-11 Forbes Street","","Warrandyte","VIC",3113,"5-11 Forbes Street","","WARRANDYTE","VIC",3113,"03 9844 3537",421,"Manningham (C)",145.21398,-37.742675,10,14,24,7.4,14,21.4,19,15,34,22,13,35,24.6,17,41.6,14,19,33,22,19,41,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,16.3352272727273
"6","Government",1,26,"Belmont Primary School","Primary","O","51 Mt Pleasant Road","","Belmont","VIC",3216,"P O Box 471","","BELMONT","VIC",3216,"03 5243 2972",275,"Greater Geelong (C)",144.342099,-38.170672,20,20,40,26,18,44,18,19,37,17,22,39,22,25,47,23,34,57,23,14,37,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,21.3778409090909
"7","Government",1,28,"Bacchus Marsh Primary School","Primary","O","56-62 Lerderderg Street","","Bacchus Marsh","VIC",3340,"P O Box 334","","Bacchus Marsh","VIC",3340,"03 5367 2745",515,"Moorabool (S)",144.4431207,-37.67302961,64,79,143,67,48,115,67,71,138,63,56,119,64,73,137,62,54,116,54,44,98,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,61.5056818181818
"8","Government",1,33,"Ballarat Primary School (Dana Street)","Primary","O","401 Dana Street","","Ballarat","VIC",3350,"401 Dana Street","","BALLARAT","VIC",3350,"03 5332 1301",57,"Ballarat (C)",143.853936,-37.56401278,17,20,37,8,13,21,22,28,50,21,18,39,19,16,35,26,21,47,7,17,24,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,17.96875
"9","Government",1,37,"Wodonga Primary School","Primary","O","Brockley Street","","Wodonga","VIC",3690,"PO Box 329","","WODONGA","VIC",3689,"02 6048 0300",717,"Wodonga (C)",146.88982,-36.129214,73,49,122,62,61,123,60,61,121,47,49,96,68,49,117,60,54,114,49,60,109,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,56.9602272727273
"10","Government",1,40,"Berwick Primary School","Primary","O","37 Fairholme Boulevard","","Berwick","VIC",3806,"37 Fairholme Boulevard","","Berwick","VIC",3806,"03 9707 1026",161,"Casey (C)",145.353743,-38.044178,85,66,151,85,81,166,78,91,169,77,84,161,84,95,179,72.4,81,153.4,66,67.4,133.4,0,0,0,1112.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112.8,79.0340909090909
"11","Government",1,60,"Beaufort Primary School","Primary","O","2/37 Park Road","","Beaufort","VIC",3373,"P O Box 18","","BEAUFORT","VIC",3373,"03 5349 2490",599,"Pyrenees (S)",143.3817175,-37.43852098,8,9,17,8,10,18,14,13,27,6,10,16,9,10,19,11,16,27,6,10,16,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,9.94318181818182
"12","Government",1,84,"Cheltenham Primary School","Primary","O","231 Charman Road","","Cheltenham","VIC",3192,"231 Charman Road","","CHELTENHAM","VIC",3192,"03 8585 3200",91,"Bayside (C)",145.054635,-37.968608,33,28,61,42,30,72,33,23,56,40,26,66,19,27,46,20,36,56,25,23,48,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,28.7642045454545
"13","Government",1,105,"Cudgee Primary School","Primary","O","3 Hallowells Road","","Cudgee","VIC",3265,"3 Hallowells Road","","CUDGEE","VIC",3265,"03 5567 6346",549,"Moyne (S)",142.650844,-38.347938,4,2,6,2,1,3,2,4,6,0,3,3,0,0,0,2,0,2,2,2,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1.70454545454545
"14","Government",1,113,"Newport Lakes Primary School","Primary","O","Elizabeth Street","","Newport","VIC",3015,"Elizabeth Street","","NEWPORT","VIC",3015,"03 9391 8942",311,"Hobsons Bay (C)",144.878345,-37.838424,29,40,69,34,29,63,24,33,57,35,27,62,32,35,67,25,23,48,25,16,41,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,28.90625
"15","Government",1,116,"Cavendish Primary School","Primary","O","8-10 Barker Street","","Cavendish","VIC",3314,"P O Box 28","","CAVENDISH","VIC",3314,"03 5574 2282",626,"Southern Grampians (S)",142.039893,-37.53087,4,3,7,1,2,3,3,2,5,2,3,5,5,6,11,2,1,3,4,1,5,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2.76988636363636
"16","Government",1,117,"Colac Primary School","Primary","O","53-65 Murray Street East","","Colac","VIC",3250,"P O Box 325","","COLAC","VIC",3250,"03 5231 2560",175,"Colac-Otway (S)",143.598336,-38.337224,14,17,31,28.2,14,42.2,23,12,35,21,15,36,23,10,33,14,13,27,14,13,27,0,0,0,231.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.2,16.4204545454545
"17","Government",1,119,"Castlemaine Primary School","Primary","O","Cnr Mostyn & Urquhart Street","","Castlemaine","VIC",3450,"P O Box 448","","CASTLEMAINE","VIC",3450,"03 5472 1452",543,"Mount Alexander (S)",144.222329,-37.066595,14,14,28,17,9,26,14,11,25,15,11,26,11,15,26,19,15,34,17,9,26,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,13.5653409090909
"18","Government",1,120,"Campbells Creek Primary School","Primary","O","Main Road","","Campbells Creek","VIC",3451,"Main Road","","CAMPBELLS CREEK","VIC",3451,"03 5472 2180",543,"Mount Alexander (S)",144.204662,-37.092935,4,9,13,7,10,17,5,10,15,12,3,15,13,12,25,7,5,12,8,7,15,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,7.95454545454545
"19","Government",1,122,"Creswick Primary School","Primary","O","67 Napier Street","","Creswick","VIC",3363,"P O Box 67","","CRESWICK","VIC",3363,"03 5345 2044",291,"Hepburn (S)",143.8915581,-37.42411355,13,8,21,13,14,27,17,15,32,14,17,31,9,18,27,15,19,34,10,19,29,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,14.2755681818182
"20","Government",1,123,"California Gully Primary School","Primary","O","4-14 Staley Street","","California Gully","VIC",3556,"P O Box 88","","CALIFORNIA GULLY","VIC",3556,"03 5446 8393",262,"Greater Bendigo (C)",144.249857,-36.733207,6,11,17,7,2,9,12,2,14,15,9,24,12,6,18,12,16,28,5,13,18,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,9.09090909090909
"21","Government",1,128,"St Andrews Primary School","Primary","O","Caledonia Street","","St Andrews","VIC",3761,"Caledonia Street","","ST ANDREWS","VIC",3761,"03 9710 1255",571,"Nillumbik (S)",145.269827,-37.602316,2,3,5,7,7,14,3,4,7,5,0,5,7,2,9,3,2,5,2,2,4,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3.48011363636364
"22","Government",1,182,"Warrnambool West Primary School","Primary","O","35 Hoddle Street","","Warrnambool","VIC",3280,"35 Hoddle Street","","WARRNAMBOOL","VIC",3280,"03 5561 3161",673,"Warrnambool (C)",142.466796,-38.366338,10,8,18,7,14,21,13,5,18,13,9,22,7,13,20,8,9,17,13,11,24,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,9.94318181818182
"23","Government",1,184,"Dromana Primary School","Primary","O","Mcculloch Street","","Dromana","VIC",3936,"P O Box 166","","DROMANA","VIC",3936,"03 5987 2367",534,"Mornington Peninsula (S)",144.959653,-38.339644,39,29,68,40,32,72,31,39,70,48,24,72,37,34,71,24,38,62,45,38,83,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,35.3693181818182
"24","Government",1,197,"Doncaster Primary School","Primary","O","2 - 12 Council Street","","Doncaster","VIC",3108,"2 - 12 Council Street","","DONCASTER","VIC",3108,"03 9848 1122",421,"Manningham (C)",145.129673,-37.786804,36,25,61,32,33,65,42,32,74,47,50,97,33,39,72,34.1,40,74.1,45,40,85,0,0,0,528.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528.1,37.5071022727273
"25","Government",1,208,"Echuca Primary School","Primary","O","413-431 High Street","","Echuca","VIC",3564,"413-431 High Street","","ECHUCA","VIC",3564,"03 5483 0700",137,"Campaspe (S)",144.747463,-36.128198,46,41,87,49,47,96,42,38,80,39,33,72,47,33,80,44,39,83,41,31,72,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,40.4829545454545
"26","Government",1,209,"Eltham Primary School","Primary","O","Dalton Street","","Eltham","VIC",3095,"DALTON STREET","","ELTHAM","VIC",3095,"03 9439 9374",571,"Nillumbik (S)",145.1478042,-37.72498353,35,27,62,34,21,55,28,20,48,29,31,60,46,28,74,28,31,59,23,24,47,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,28.7642045454545
"27","Government",1,210,"Eaglehawk Primary School","Primary","O","Church St","","Eaglehawk","VIC",3556,"P O Box 77","","EAGLEHAWK","VIC",3556,"03 5446 3722",262,"Greater Bendigo (C)",144.254602,-36.720628,4,12,16,5,5,10,7,7,14,7,11,18,3,10,13,9,9,18,9,11,20,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,7.74147727272727
"28","Government",1,220,"Elphinstone Primary School","Primary","O","26 Wright Street","","Elphinstone","VIC",3448,"26 Wright Street","","ELPHINSTONE","VIC",3448,"03 5473 3285",543,"Mount Alexander (S)",144.3329025,-37.10500363,3,1,4,0,3,3,1,1,2,1,2,3,3,3,6,1,0,1,5,2,7,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1.84659090909091
"29","Government",1,244,"Hallam Primary School","Primary","O","24 Harmer Road","","Hallam","VIC",3803,"24 Harmer Road","","HALLAM","VIC",3803,"03 9703 1536",161,"Casey (C)",145.258493,-38.001575,32,24,56,34,33,67,32,29,61,28,35,63,33,36,69,28,27,55,32,19,51,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,29.9715909090909
