,X,School.Name,Education.Sector,School.Type,School.No,School_No,newSchoolID
8,8,"AMEP/Language & Literacy Programs, Victoria University Sunshine",RTO/VET,Secondary,0,0,0
42,42,Canterbury Girls' Secondary College,Government,Secondary,0,0,1292
52,52,Cire Community School/Cire Training,Independent,Special,0,0,2225
74,74,Federation College,RTO/VET,Secondary,0,0,0
76,76,Fintona Girls' College,Independent,Pri/Sec,0,0,1609
83,83,FRESH Program,RTO/VET,Secondary,0,0,0
84,84,Geelong Grammar,Independent,Pri/Sec,0,0,1619
86,86,Gilmore College for Girls,Government,Secondary,0,0,1312
90,90,Gleneagles Secondary college,Government,Secondary,0,0,1505
96,96,Hawkesdale P-12 College,Government,Pri/Sec,0,0,0
100,100,Holmesglen TAFE,RTO/VET,Secondary,0,0,0
104,104,Ivanhoe Girls Grammar School,Independent,Pri/Sec,0,0,1697
108,108,Kambrya Secondary College,Government,Secondary,0,0,1395
114,114,Keysborough College,Government,Secondary,0,0,0
129,129,Lorne - Aireys Inlet P-12 College,Government,Pri/Sec,0,0,1335
143,143,McKinnon Secondary College,Government,Secondary,0,0,1355
144,144,Melba College,Government,Secondary,0,0,1535
145,145,Melbourne Academy,RTO/VET,Secondary,0,0,0
151,151,Mentone Girls' Secondary College,Government,Secondary,0,0,1465
152,152,Mentone Grammar,Independent,Secondary,0,0,1733
155,155,Methodist Ladies College,Independent,Pri/Sec,0,0,1591
172,172,Mountain District Learning Centre,RTO/VET,Secondary,0,0,0
187,187,Officer Secondary College,Government,Secondary,0,0,451
192,192,Patrick Studios Australia,RTO/VET,Secondary,0,0,0
195,195,Penleigh and Essendon Grammar School,Independent,Pri/Sec,0,0,1725
201,201,Preshil: The Margaret Lyttle Memorial School,Independent,Pri/Sec,0,0,1783
206,206,RMIT VCE Program,RTO/VET,Secondary,0,0,0
211,211,Royal Children's Hospital Education Institute,Government,Special,0,0,894
215,215,School of Foundational Studies & Adult Learning,RTO/VET,Secondary,0,0,0
217,217,SEDA College,Independent,Secondary,0,0,2248
222,222,Skillsplus Youth Education,RTO/VET,Secondary,0,0,0
224,224,South Gippsland Secondary College,Government,Secondary,0,0,1163
232,232,St Joseph's Flexible learning Centre,Catholic,Secondary,0,0,2214
249,249,The Berry Street School,RTO/VET,Secondary,0,0,2170
257,257,Trinity Grammar School,Independent,Pri/Sec,0,0,1620
176,176,Newport Lakes Primary School,Government,Primary,0,113,14
244,244,Taradale Primary School,Government,Primary,0,614,74
283,283,Winters Flat Primary School,Government,Primary,0,652,83
288,288,Wooragee Primary School,Government,Primary,0,653,84
265,265,Wandin Yallock Primary School,Government,Primary,0,1033,147
282,282,Williamstown Primary School,Government,Primary,0,1183,188
37,37,Buninyong Primary School,Government,Primary,0,1270,203
53,53,Clifton Hill Primary School,Government,Primary,0,1360,217
179,179,Northcote Primary School,Government,Primary,0,1401,228
233,233,St Kilda Primary School,Government,Primary,0,1479,249
133,133,Macedon Primary School,Government,Primary,0,1660,292
1,1,Abbotsford Primary School,Government,Primary,0,1886,325
112,112,Kensington Primary School,Government,Primary,0,2374,410
34,34,Brunswick South Primary School,Government,Primary,0,2743,452
194,194,Pearcedale Primary School,Government,Primary,0,2961,483
186,186,Ocean Grove Primary School,Government,Primary,0,3100,502
227,227,Spensley Street Primary School,Government,Primary,0,3146,509
32,32,Brunswick East Primary School,Government,Primary,0,3179,513
275,275,Wesburn Primary School,Government,Primary,0,3466,546
271,271,Warranwood Primary School,Government,Primary,0,3476,548
136,136,Mallacoota P-12 College,Government,Pri/Sec,0,3515,553
258,258,Tyabb Railway Station Primary School,Government,Primary,0,3544,556
5,5,Alphington Primary School,Government,Primary,0,3599,565
7,7,Altona Primary School,Government,Primary,0,3923,611
198,198,Point Cook Prep - Year 9 College,Government,Pri/Sec,0,4159,652
30,30,Briar Hill Primary School,Government,Primary,0,4341,682
256,256,Travancore School,Government,Special,0,4465,697
55,55,Coburg North Primary School,Government,Primary,0,4543,699
75,75,Ferntree Gully North Primary School,Government,Primary,0,4718,742
14,14,Ballarat Specialist School,Government,Special,0,4762,764
273,273,Wembley Primary School,Government,Primary,0,4788,774
264,264,Viewbank Primary School,Government,Primary,0,4892,821
109,109,Karingal Primary School,Government,Primary,0,4922,838
160,160,Montmorency South Primary School,Government,Primary,0,4925,841
21,21,Berendale School,Government,Special,0,4928,842
122,122,Lalor East Primary School,Government,Primary,0,4976,866
99,99,Highvale Primary School,Government,Primary,0,4986,871
164,164,Mornington Park Primary School,Government,Primary,0,5040,904
91,91,Glengala/Sunshine West Primary School,Government,Primary,0,5050,912
149,149,Melton Specialist School,Government,Special,0,5162,972
226,226,Southern Cross Primary School,Government,Primary,0,5235,1019
6,6,Altona Green Primary School,Government,Primary,0,5287,1057
40,40,Cambridge Primary School,Government,Primary,0,5312,1073
185,185,Oatlands Primary School,Government,Primary,0,5363,1087
66,66,Edenhope College,Government,Pri/Sec,0,5432,1134
46,46,Carwatha College P-12,Government,Pri/Sec,0,5435,1137
254,254,Timbarra P-9 College,Government,Pri/Sec,0,5479,1153
44,44,Carranballac P-9 College,Government,Pri/Sec,0,5486,1157
189,189,Pakenham Springs Primary School,Government,Primary,0,5507,1171
9,9,Apollo Bay P-12 College,Government,Pri/Sec,0,6203,1218
56,56,Collingwood College,Government,Pri/Sec,0,6212,1222
154,154,Merino Consolidated School,Government,Primary,0,6237,1233
134,134,Macleod College,Government,Pri/Sec,0,6242,1235
220,220,Sherbrooke Community School,Government,Pri/Sec,0,6252,1240
41,41,Camperdown College,Government,Pri/Sec,0,6259,1243
169,169,Mount Erin Secondary College,Government,Secondary,0,7028,1249
27,27,Box Hill Senior Secondary College,Government,Secondary,0,7050,1250
132,132,Lyndhurst Secondary College,Government,Secondary,0,7108,1252
64,64,Dromana Secondary College,Government,Secondary,0,7122,1254
61,61,Crusoe 7-10 Secondary College,Government,Secondary,0,7205,1257
196,196,Peter Lalor Secondary College,Government,Secondary,0,7217,1258
126,126,Lilydale Heights College,Government,Secondary,0,7219,1259
236,236,Staughton College,Government,Secondary,0,7247,1260
49,49,Chaffey Secondary College,Government,Secondary,0,7250,1261
20,20,Bentleigh Secondary College,Government,Secondary,0,7255,1262
167,167,Mount Clear College,Government,Secondary,0,7267,1263
208,208,Rosehill Secondary College,Government,Secondary,0,7275,1264
181,181,Northern College of the Arts and Technology,Government,Secondary,0,7300,1265
142,142,McGuire College,Government,Secondary,0,7331,1266
242,242,Swinburne Senior Secondary College,Government,Secondary,0,7366,1267
289,289,Wyndham Central Secondary College,Government,Secondary,0,7402,1270
280,280,Whittlesea Secondary College,Government,Secondary,0,7408,1272
11,11,Auburn High School,Government,Secondary,0,7526,1274
13,13,Ballarat High School,Government,Secondary,0,7540,1275
15,15,Balwyn High School,Government,Secondary,0,7550,1276
18,18,Belmont High School,Government,Secondary,0,7585,1280
22,22,Berwick Secondary College,Government,Secondary,0,7603,1282
25,25,Blackburn High School,Government,Secondary,0,7610,1283
26,26,Box Hill High School,Government,Secondary,0,7635,1285
28,28,Braybrook College,Government,Secondary,0,7645,1286
29,29,Brentwood Secondary College,Government,Secondary,0,7647,1287
31,31,Brighton Secondary College,Government,Secondary,0,7650,1288
35,35,Buckley Park College,Government,Secondary,0,7670,1290
39,39,Camberwell High School,Government,Secondary,0,7680,1291
51,51,Cheltenham Secondary College,Government,Secondary,0,7720,1294
59,59,Cranbourne Secondary College,Government,Secondary,0,7747,1297
60,60,Croydon Community School,Government,Secondary,0,7757,1298
166,166,Mount Alexander 7-12 College,Government,Secondary,0,7763,1299
63,63,Dimboola Memorial Secondary College,Government,Secondary,0,7770,1300
65,65,East Doncaster Secondary College,Government,Secondary,0,7773,1301
69,69,Eltham High School,Government,Secondary,0,7805,1306
70,70,Elwood College,Government,Secondary,0,7810,1307
72,72,Epping Secondary College,Government,Secondary,0,7813,1308
82,82,Frankston High School,Government,Secondary,0,7850,1314
85,85,Geelong High School,Government,Secondary,0,7855,1315
177,177,North Geelong Secondary College,Government,Secondary,0,7856,1316
87,87,Gisborne Secondary College,Government,Secondary,0,7857,1317
36,36,Bundoora Secondary College,Government,Secondary,0,7874,1319
278,278,Western Port Secondary College,Government,Secondary,0,7893,1320
98,98,Heywood District Secondary College,Government,Secondary,0,7910,1322
111,111,Kensington Community High School,Government,Secondary,0,7947,1325
113,113,Kew High School,Government,Secondary,0,7950,1326
117,117,Koonung Secondary College,Government,Secondary,0,7954,1327
116,116,Koo Wee Rup Secondary College,Government,Secondary,0,7955,1328
120,120,Kyneton Secondary College,Government,Secondary,0,7970,1331
127,127,Lilydale High School,Government,Secondary,0,7995,1334
131,131,Lynall Hall Community School,Government,Secondary,0,8003,1337
138,138,Maribyrnong Secondary College,Government,Secondary,0,8015,1340
140,140,Matthew Flinders Girls Secondary College,Government,Secondary,0,8022,1341
147,147,Melbourne High School,Government,Secondary,0,8025,1342
148,148,Melton Secondary College,Government,Secondary,0,8027,1343
156,156,Mildura Senior College,Government,Secondary,0,8045,1345
159,159,Montmorency Secondary College,Government,Secondary,0,8068,1348
